dataset,classifier,partition_ratio,trial,train_acc,val_acc,test_acc,best_params,time_elapsed
spambase,svm,80_20,42,0.9695652173913043,0.9342374957510748,0.9229098805646037,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",6.279072999954224
spambase,svm,80_20,123,0.935054347826087,0.9277173067642003,0.9305103148751357,"{""C"": 10, ""kernel"": ""linear""}",7.3924689292907715
spambase,svm,80_20,456,0.9657608695652173,0.9361422551234172,0.9381107491856677,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",6.598535060882568
spambase,knn,20_80,42,1.0,0.9043478260869564,0.893507199130671,"{""n_neighbors"": 9, ""weights"": ""distance""}",0.07203197479248047
spambase,knn,20_80,123,1.0,0.8891304347826086,0.882640586797066,"{""n_neighbors"": 7, ""weights"": ""distance""}",0.05870485305786133
spambase,knn,20_80,456,1.0,0.8836956521739131,0.900027166530834,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.062413930892944336
spambase,knn,50_50,42,1.0,0.9147826086956521,0.9143850499782703,"{""n_neighbors"": 9, ""weights"": ""distance""}",0.19779491424560547
spambase,knn,50_50,123,0.9991304347826087,0.9052173913043478,0.9096045197740112,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.19814777374267578
spambase,knn,50_50,456,1.0,0.9056521739130435,0.9130812690134724,"{""n_neighbors"": 11, ""weights"": ""distance""}",0.2062070369720459
spambase,knn,80_20,42,0.9997282608695652,0.9211956521739131,0.9272529858849077,"{""n_neighbors"": 11, ""weights"": ""distance""}",0.24855399131774902
spambase,knn,80_20,123,0.9991847826086957,0.9144021739130433,0.9120521172638436,"{""n_neighbors"": 9, ""weights"": ""distance""}",0.2404499053955078
spambase,knn,80_20,456,1.0,0.91875,0.9142236699239956,"{""n_neighbors"": 9, ""weights"": ""distance""}",0.24766302108764648
mushroom,random_forest,20_80,42,1.0,0.9993846153846153,0.9987692307692307,"{""max_depth"": 10, ""min_samples_split"": 2, ""n_estimators"": 50}",2.7074568271636963
mushroom,random_forest,20_80,123,1.0,0.9987692307692309,1.0,"{""max_depth"": 10, ""min_samples_split"": 2, ""n_estimators"": 50}",2.825329065322876
